Airline,Date,Flight_Duration,Stops,Time_total,class_type,Flight_price,From,To,Time_from,Time_to,Day_offset
Spirit Airlines,2023-12-01,12h 44m,1 stop,9:44 pm – 9:28 am+1,Economy,$82,BOS,ORD,9:44 pm,9:28 am,+1
American Airlines,2023-12-01,2h 48m,nonstop,6:52 am – 8:40 am,Basic Economy,$89,BOS,ORD,6:52 am,8:40 am,
Spirit Airlines,2023-12-01,12h 44m,1 stop,9:44 pm – 9:28 am+1,Economy,$82,BOS,ORD,9:44 pm,9:28 am,+1
JetBlue,2023-12-01,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$109,BOS,ORD,4:54 pm,6:55 pm,
United Airlines,2023-12-01,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$106,BOS,ORD,6:00 am,7:57 am,
JetBlue,2023-12-01,3h 00m,nonstop,7:05 am – 9:05 am,Blue Basic,$119,BOS,ORD,7:05 am,9:05 am,
Delta,2023-12-01,3h 05m,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139,BOS,ORD,5:45 pm,7:50 pm,
Delta,2023-12-01,2h 59m,nonstop,6:05 am – 8:04 am,Basic Economy,$139,BOS,ORD,6:05 am,8:04 am,
American Airlines,2023-12-01,2h 58m,nonstop,5:40 pm – 7:38 pm,Basic Economy,$144,BOS,ORD,5:40 pm,7:38 pm,
United Airlines,2023-12-01,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$142,BOS,ORD,6:28 pm,8:25 pm,
United Airlines,2023-12-01,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$143,BOS,ORD,4:16 pm,6:13 pm,
Delta,2023-12-01,2h 55m,nonstop,2:25 pm – 4:20 pm,Basic Economy,$149,BOS,ORD,2:25 pm,4:20 pm,
United Airlines,2023-12-01,2h 57m,nonstop,11:35 am – 1:32 pm,Basic Economy,$169,BOS,ORD,11:35 am,1:32 pm,
Delta,2023-12-01,3h 04m,nonstop,10:20 am – 12:24 pm,Basic Economy,$179,BOS,ORD,10:20 am,12:24 pm,
United Airlines,2023-12-01,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$191,BOS,ORD,9:46 am,11:43 am,
American Airlines,2023-12-01,3h 02m,nonstop,3:30 pm – 5:32 pm,Main Cabin,$219,BOS,ORD,3:30 pm,5:32 pm,
American Airlines,2023-12-01,2h 59m,nonstop,8:30 am – 10:29 am,Main Cabin,$219,BOS,ORD,8:30 am,10:29 am,
Spirit Airlines,2023-12-02,12h 44m,1 stop,9:44 pm – 9:28 am+1,Economy,$82,BOS,ORD,9:44 pm,9:28 am,+1
JetBlue,2023-12-02,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$89,BOS,ORD,4:54 pm,6:55 pm,
Spirit Airlines,2023-12-02,12h 44m,1 stop,9:44 pm – 9:28 am+1,Economy,$82,BOS,ORD,9:44 pm,9:28 am,+1
JetBlue,2023-12-02,3h 00m,nonstop,7:05 am – 9:05 am,Blue Basic,$89,BOS,ORD,7:05 am,9:05 am,
American Airlines,2023-12-02,2h 59m,nonstop,8:30 am – 10:29 am,Basic Economy,$89,BOS,ORD,8:30 am,10:29 am,
American Airlines,2023-12-02,2h 58m,nonstop,5:40 pm – 7:38 pm,Basic Economy,$89,BOS,ORD,5:40 pm,7:38 pm,
United Airlines,2023-12-02,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$89,BOS,ORD,6:28 pm,8:25 pm,
United Airlines,2023-12-02,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$89,BOS,ORD,4:16 pm,6:13 pm,
American Airlines,2023-12-02,2h 48m,nonstop,6:52 am – 8:40 am,Basic Economy,$89,BOS,ORD,6:52 am,8:40 am,
United Airlines,2023-12-02,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$89,BOS,ORD,9:46 am,11:43 am,
United Airlines,2023-12-02,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$89,BOS,ORD,6:00 am,7:57 am,
United Airlines,2023-12-02,2h 57m,nonstop,11:32 am – 1:29 pm,Basic Economy,$89,BOS,ORD,11:32 am,1:29 pm,
American Airlines,2023-12-02,3h 02m,nonstop,3:30 pm – 5:32 pm,Basic Economy,$119,BOS,ORD,3:30 pm,5:32 pm,
Delta,2023-12-02,3h 05m,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139,BOS,ORD,5:45 pm,7:50 pm,
Delta,2023-12-02,2h 56m,nonstop,2:10 pm – 4:06 pm,Basic Economy,$139,BOS,ORD,2:10 pm,4:06 pm,
Delta,2023-12-02,2h 55m,nonstop,9:55 am – 11:50 am,Basic Economy,$139,BOS,ORD,9:55 am,11:50 am,
JetBlue,2023-12-02,4h 53m,1 stop,1:30 pm – 5:23 pm,Blue Basic,$99,BOS,ORD,1:30 pm,5:23 pm,
Spirit Airlines,2023-12-03,12h 59m,1 stop,9:44 pm – 9:43 am+1,Economy,$82,BOS,ORD,9:44 pm,9:43 am,+1
JetBlue,2023-12-03,3h 00m,nonstop,7:05 am – 9:05 am,Blue Basic,$89,BOS,ORD,7:05 am,9:05 am,
Spirit Airlines,2023-12-03,12h 59m,1 stop,9:44 pm – 9:43 am+1,Economy,$82,BOS,ORD,9:44 pm,9:43 am,+1
American Airlines,2023-12-03,2h 59m,nonstop,8:30 am – 10:29 am,Basic Economy,$99,BOS,ORD,8:30 am,10:29 am,
United Airlines,2023-12-03,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$89,BOS,ORD,9:46 am,11:43 am,
United Airlines,2023-12-03,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$89,BOS,ORD,6:00 am,7:57 am,
American Airlines,2023-12-03,2h 48m,nonstop,6:59 am – 8:47 am,Basic Economy,$99,BOS,ORD,6:59 am,8:47 am,
United Airlines,2023-12-03,2h 57m,nonstop,11:36 am – 1:33 pm,Basic Economy,$117,BOS,ORD,11:36 am,1:33 pm,
United Airlines,2023-12-03,2h 57m,nonstop,8:55 pm – 10:52 pm,Basic Economy,$117,BOS,ORD,8:55 pm,10:52 pm,
Delta,2023-12-03,3h 05m,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139,BOS,ORD,5:45 pm,7:50 pm,
Delta,2023-12-03,3h 04m,nonstop,10:20 am – 12:24 pm,Basic Economy,$139,BOS,ORD,10:20 am,12:24 pm,
JetBlue,2023-12-03,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$134,BOS,ORD,4:54 pm,6:55 pm,
United Airlines,2023-12-03,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$169,BOS,ORD,6:28 pm,8:25 pm,
American Airlines,2023-12-03,3h 02m,nonstop,3:30 pm – 5:32 pm,Basic Economy,$179,BOS,ORD,3:30 pm,5:32 pm,
American Airlines,2023-12-03,2h 58m,nonstop,5:40 pm – 7:38 pm,Basic Economy,$179,BOS,ORD,5:40 pm,7:38 pm,
United Airlines,2023-12-03,2h 57m,nonstop,3:01 pm – 4:58 pm,Basic Economy,$181,BOS,ORD,3:01 pm,4:58 pm,
Delta,2023-12-03,2h 55m,nonstop,2:25 pm – 4:20 pm,Basic Economy,$179,BOS,ORD,2:25 pm,4:20 pm,
Frontier,2023-12-04,10h 08m,1 stop,8:33 am – 5:41 pm,Economy,$70,BOS,MDW,8:33 am,5:41 pm,
JetBlue,2023-12-04,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$89,BOS,ORD,4:54 pm,6:55 pm,
Frontier,2023-12-04,10h 08m,1 stop,8:33 am – 5:41 pm,Economy,$57,BOS,MDW,8:33 am,5:41 pm,
JetBlue,2023-12-04,3h 00m,nonstop,7:05 am – 9:05 am,Blue Basic,$89,BOS,ORD,7:05 am,9:05 am,
American Airlines,2023-12-04,2h 59m,nonstop,8:30 am – 10:29 am,Basic Economy,$89,BOS,ORD,8:30 am,10:29 am,
United Airlines,2023-12-04,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$89,BOS,ORD,6:28 pm,8:25 pm,
American Airlines,2023-12-04,2h 58m,nonstop,5:40 pm – 7:38 pm,Basic Economy,$89,BOS,ORD,5:40 pm,7:38 pm,
United Airlines,2023-12-04,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$89,BOS,ORD,6:00 am,7:57 am,
American Airlines,2023-12-04,2h 48m,nonstop,6:52 am – 8:40 am,Basic Economy,$89,BOS,ORD,6:52 am,8:40 am,
American Airlines,2023-12-04,3h 02m,nonstop,3:30 pm – 5:32 pm,Basic Economy,$119,BOS,ORD,3:30 pm,5:32 pm,
United Airlines,2023-12-04,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$112,BOS,ORD,4:16 pm,6:13 pm,
United Airlines,2023-12-04,2h 57m,nonstop,11:35 am – 1:32 pm,Basic Economy,$117,BOS,ORD,11:35 am,1:32 pm,
United Airlines,2023-12-04,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$117,BOS,ORD,9:46 am,11:43 am,
Delta,2023-12-04,3h 05m,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139,BOS,ORD,5:45 pm,7:50 pm,
Delta,2023-12-04,2h 59m,nonstop,6:05 am – 8:04 am,Basic Economy,$139,BOS,ORD,6:05 am,8:04 am,
Delta,2023-12-04,2h 55m,nonstop,2:25 pm – 4:20 pm,Basic Economy,$139,BOS,ORD,2:25 pm,4:20 pm,
American Airlines,2023-12-04,3h 02m,nonstop,12:22 pm – 2:24 pm,Main Cabin,$219,BOS,ORD,12:22 pm,2:24 pm,
Spirit Airlines,2023-12-05,7h 39m,1 stop,12:30 pm – 7:09 pm,Economy,$82,BOS,ORD,12:30 pm,7:09 pm,
American Airlines,2023-12-05,3h 07m,nonstop,3:30 pm – 5:37 pm,Basic Economy,$79,BOS,ORD,3:30 pm,5:37 pm,
Spirit Airlines,2023-12-05,14h 13m,1 stop,9:37 pm – 10:50 am+1,Economy,$60,BOS,ORD,9:37 pm,10:50 am,+1
American Airlines,2023-12-05,3h 07m,nonstop,7:50 am – 9:57 am,Basic Economy,$79,BOS,ORD,7:50 am,9:57 am,
JetBlue,2023-12-05,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$79,BOS,ORD,4:54 pm,6:55 pm,
American Airlines,2023-12-05,3h 05m,nonstop,6:50 am – 8:55 am,Basic Economy,$79,BOS,ORD,6:50 am,8:55 am,
JetBlue,2023-12-05,3h 00m,nonstop,7:05 am – 9:05 am,Blue Basic,$79,BOS,ORD,7:05 am,9:05 am,
United Airlines,2023-12-05,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$79,BOS,ORD,6:28 pm,8:25 pm,
United Airlines,2023-12-05,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$79,BOS,ORD,4:16 pm,6:13 pm,
United Airlines,2023-12-05,2h 57m,nonstop,11:35 am – 1:32 pm,Basic Economy,$79,BOS,ORD,11:35 am,1:32 pm,
United Airlines,2023-12-05,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$79,BOS,ORD,9:46 am,11:43 am,
United Airlines,2023-12-05,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$79,BOS,ORD,6:00 am,7:57 am,
Delta,2023-12-05,3h 05m,nonstop,5:45 pm – 7:50 pm,Basic Economy,$104,BOS,ORD,5:45 pm,7:50 pm,
Delta,2023-12-05,2h 59m,nonstop,6:05 am – 8:04 am,Basic Economy,$104,BOS,ORD,6:05 am,8:04 am,
Delta,2023-12-05,2h 55m,nonstop,2:25 pm – 4:20 pm,Basic Economy,$104,BOS,ORD,2:25 pm,4:20 pm,
American Airlines,2023-12-05,3h 07m,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119,BOS,ORD,12:22 pm,2:29 pm,
Delta,2023-12-05,3h 04m,nonstop,10:20 am – 12:24 pm,Basic Economy,$119,BOS,ORD,10:20 am,12:24 pm,
Frontier,2023-12-06,10h 08m,1 stop,8:33 am – 5:41 pm,Economy,$60,BOS,MDW,8:33 am,5:41 pm,
American Airlines,2023-12-06,3h 07m,nonstop,7:50 am – 9:57 am,Basic Economy,$79,BOS,ORD,7:50 am,9:57 am,
Frontier,2023-12-06,10h 08m,1 stop,8:33 am – 5:41 pm,Economy,$45,BOS,MDW,8:33 am,5:41 pm,
American Airlines,2023-12-06,3h 04m,nonstop,6:50 am – 8:54 am,Basic Economy,$79,BOS,ORD,6:50 am,8:54 am,
JetBlue,2023-12-06,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$79,BOS,ORD,4:54 pm,6:55 pm,
JetBlue,2023-12-06,2h 59m,nonstop,7:00 am – 8:59 am,Blue Basic,$79,BOS,ORD,7:00 am,8:59 am,
United Airlines,2023-12-06,2h 57m,nonstop,11:35 am – 1:32 pm,Basic Economy,$79,BOS,ORD,11:35 am,1:32 pm,
United Airlines,2023-12-06,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$79,BOS,ORD,9:46 am,11:43 am,
United Airlines,2023-12-06,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$79,BOS,ORD,6:00 am,7:57 am,
Delta,2023-12-06,3h 05m,nonstop,5:45 pm – 7:50 pm,Basic Economy,$104,BOS,ORD,5:45 pm,7:50 pm,
Delta,2023-12-06,3h 04m,nonstop,10:20 am – 12:24 pm,Basic Economy,$104,BOS,ORD,10:20 am,12:24 pm,
Delta,2023-12-06,2h 59m,nonstop,6:05 am – 8:04 am,Basic Economy,$104,BOS,ORD,6:05 am,8:04 am,
Delta,2023-12-06,2h 55m,nonstop,2:25 pm – 4:20 pm,Basic Economy,$104,BOS,ORD,2:25 pm,4:20 pm,
American Airlines,2023-12-06,3h 07m,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119,BOS,ORD,12:22 pm,2:29 pm,
United Airlines,2023-12-06,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$115,BOS,ORD,6:28 pm,8:25 pm,
United Airlines,2023-12-06,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$164,BOS,ORD,4:16 pm,6:13 pm,
Spirit Airlines,2023-12-07,12h 56m,1 stop,9:47 pm – 9:43 am+1,Economy,$82,BOS,ORD,9:47 pm,9:43 am,+1
American Airlines,2023-12-07,3h 07m,nonstop,7:50 am – 9:57 am,Basic Economy,$84,BOS,ORD,7:50 am,9:57 am,
Spirit Airlines,2023-12-07,14h 13m,1 stop,9:37 pm – 10:50 am+1,Economy,$74,BOS,ORD,9:37 pm,10:50 am,+1
American Airlines,2023-12-07,3h 04m,nonstop,6:50 am – 8:54 am,Basic Economy,$84,BOS,ORD,6:50 am,8:54 am,
JetBlue,2023-12-07,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$84,BOS,ORD,4:54 pm,6:55 pm,
United Airlines,2023-12-07,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$89,BOS,ORD,6:00 am,7:57 am,
JetBlue,2023-12-07,2h 59m,nonstop,7:00 am – 8:59 am,Blue Basic,$94,BOS,ORD,7:00 am,8:59 am,
American Airlines,2023-12-07,3h 07m,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119,BOS,ORD,12:22 pm,2:29 pm,
Delta,2023-12-07,3h 05m,nonstop,8:25 pm – 10:30 pm,Basic Economy,$119,BOS,ORD,8:25 pm,10:30 pm,
Delta,2023-12-07,2h 59m,nonstop,6:05 am – 8:04 am,Basic Economy,$119,BOS,ORD,6:05 am,8:04 am,
Delta,2023-12-07,2h 58m,nonstop,10:05 am – 12:03 pm,Basic Economy,$119,BOS,ORD,10:05 am,12:03 pm,
United Airlines,2023-12-07,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$119,BOS,ORD,9:46 am,11:43 am,
Delta,2023-12-07,2h 57m,nonstop,2:30 pm – 4:27 pm,Basic Economy,$119,BOS,ORD,2:30 pm,4:27 pm,
American Airlines,2023-12-07,3h 07m,nonstop,3:30 pm – 5:37 pm,Basic Economy,$144,BOS,ORD,3:30 pm,5:37 pm,
Delta,2023-12-07,3h 06m,nonstop,5:25 pm – 7:31 pm,Basic Economy,$149,BOS,ORD,5:25 pm,7:31 pm,
United Airlines,2023-12-07,2h 57m,nonstop,11:35 am – 1:32 pm,Basic Economy,$148,BOS,ORD,11:35 am,1:32 pm,
American Airlines,2023-12-07,3h 07m,nonstop,5:49 pm – 7:56 pm,Main Cabin,$219,BOS,ORD,5:49 pm,7:56 pm,
United Airlines,2023-12-08,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$89,BOS,ORD,6:28 pm,8:25 pm,
Spirit Airlines,2023-12-08,14h 13m,1 stop,9:37 pm – 10:50 am+1,Economy,$60,BOS,ORD,9:37 pm,10:50 am,+1
United Airlines,2023-12-08,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$89,BOS,ORD,6:00 am,7:57 am,
American Airlines,2023-12-08,3h 07m,nonstop,5:49 pm – 7:56 pm,Basic Economy,$84,BOS,ORD,5:49 pm,7:56 pm,
American Airlines,2023-12-08,3h 04m,nonstop,6:50 am – 8:54 am,Basic Economy,$84,BOS,ORD,6:50 am,8:54 am,
American Airlines,2023-12-08,3h 07m,nonstop,7:50 am – 9:57 am,Basic Economy,$84,BOS,ORD,7:50 am,9:57 am,
United Airlines,2023-12-08,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$119,BOS,ORD,4:16 pm,6:13 pm,
JetBlue,2023-12-08,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$84,BOS,ORD,4:54 pm,6:55 pm,
JetBlue,2023-12-08,2h 59m,nonstop,7:00 am – 8:59 am,Blue Basic,$109,BOS,ORD,7:00 am,8:59 am,
Delta,2023-12-08,2h 58m,nonstop,10:05 am – 12:03 pm,Basic Economy,$119,BOS,ORD,10:05 am,12:03 pm,
American Airlines,2023-12-08,3h 07m,nonstop,3:30 pm – 5:37 pm,Basic Economy,$144,BOS,ORD,3:30 pm,5:37 pm,
Delta,2023-12-08,3h 02m,nonstop,8:20 pm – 10:22 pm,Basic Economy,$119,BOS,ORD,8:20 pm,10:22 pm,
Delta,2023-12-08,2h 59m,nonstop,6:05 am – 8:04 am,Basic Economy,$119,BOS,ORD,6:05 am,8:04 am,
Delta,2023-12-08,3h 06m,nonstop,5:25 pm – 7:31 pm,Basic Economy,$119,BOS,ORD,5:25 pm,7:31 pm,
American Airlines,2023-12-08,4h 35m,1 stop,7:43 am – 11:18 am,Basic Economy,$104,BOS,ORD,7:43 am,11:18 am,
United Airlines,2023-12-08,2h 57m,nonstop,11:35 am – 1:32 pm,Basic Economy,$169,BOS,ORD,11:35 am,1:32 pm,
United Airlines,2023-12-09,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$79,BOS,ORD,6:28 pm,8:25 pm,
Spirit Airlines,2023-12-09,14h 13m,1 stop,9:37 pm – 10:50 am+1,Economy,$74,BOS,ORD,9:37 pm,10:50 am,+1
United Airlines,2023-12-09,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$79,BOS,ORD,4:16 pm,6:13 pm,
JetBlue,2023-12-09,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$79,BOS,ORD,4:54 pm,6:55 pm,
United Airlines,2023-12-09,2h 57m,nonstop,11:32 am – 1:29 pm,Basic Economy,$79,BOS,ORD,11:32 am,1:29 pm,
United Airlines,2023-12-09,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$79,BOS,ORD,9:46 am,11:43 am,
United Airlines,2023-12-09,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$79,BOS,ORD,6:00 am,7:57 am,
JetBlue,2023-12-09,2h 59m,nonstop,7:00 am – 8:59 am,Blue Basic,$79,BOS,ORD,7:00 am,8:59 am,
American Airlines,2023-12-09,3h 07m,nonstop,3:30 pm – 5:37 pm,Basic Economy,$79,BOS,ORD,3:30 pm,5:37 pm,
American Airlines,2023-12-09,3h 07m,nonstop,7:50 am – 9:57 am,Basic Economy,$79,BOS,ORD,7:50 am,9:57 am,
American Airlines,2023-12-09,3h 13m,nonstop,6:15 am – 8:28 am,Basic Economy,$79,BOS,ORD,6:15 am,8:28 am,
American Airlines,2023-12-09,3h 12m,nonstop,12:31 pm – 2:43 pm,Basic Economy,$89,BOS,ORD,12:31 pm,2:43 pm,
Delta,2023-12-09,2h 57m,nonstop,2:00 pm – 3:57 pm,Basic Economy,$104,BOS,ORD,2:00 pm,3:57 pm,
Delta,2023-12-09,2h 58m,nonstop,9:35 am – 11:33 am,Basic Economy,$104,BOS,ORD,9:35 am,11:33 am,
Delta,2023-12-09,3h 07m,nonstop,5:00 pm – 7:07 pm,Basic Economy,$104,BOS,ORD,5:00 pm,7:07 pm,
JetBlue,2023-12-09,4h 56m,1 stop,1:26 pm – 5:22 pm,Blue Basic,$89,BOS,ORD,1:26 pm,5:22 pm,
JetBlue,2023-12-10,2h 59m,nonstop,7:00 am – 8:59 am,Blue Basic,$84,BOS,ORD,7:00 am,8:59 am,
Spirit Airlines,2023-12-10,14h 13m,1 stop,9:37 pm – 10:50 am+1,Economy,$81,BOS,ORD,9:37 pm,10:50 am,+1
United Airlines,2023-12-10,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$89,BOS,ORD,6:00 am,7:57 am,
American Airlines,2023-12-10,3h 04m,nonstop,6:50 am – 8:54 am,Basic Economy,$94,BOS,ORD,6:50 am,8:54 am,
American Airlines,2023-12-10,3h 07m,nonstop,7:50 am – 9:57 am,Basic Economy,$94,BOS,ORD,7:50 am,9:57 am,
United Airlines,2023-12-10,2h 57m,nonstop,8:55 pm – 10:52 pm,Basic Economy,$119,BOS,ORD,8:55 pm,10:52 pm,
JetBlue,2023-12-10,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$134,BOS,ORD,4:54 pm,6:55 pm,
United Airlines,2023-12-10,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$169,BOS,ORD,9:46 am,11:43 am,
United Airlines,2023-12-10,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$178,BOS,ORD,6:28 pm,8:25 pm,
American Airlines,2023-12-10,4h 35m,1 stop,7:43 am – 11:18 am,Basic Economy,$114,BOS,ORD,7:43 am,11:18 am,
Delta,2023-12-10,2h 58m,nonstop,10:05 am – 12:03 pm,Basic Economy,$149,BOS,ORD,10:05 am,12:03 pm,
Delta,2023-12-10,3h 06m,nonstop,5:25 pm – 7:31 pm,Basic Economy,$149,BOS,ORD,5:25 pm,7:31 pm,
American Airlines,2023-12-10,3h 07m,nonstop,5:49 pm – 7:56 pm,Basic Economy,$179,BOS,ORD,5:49 pm,7:56 pm,
Delta,2023-12-10,2h 57m,nonstop,2:30 pm – 4:27 pm,Basic Economy,$179,BOS,ORD,2:30 pm,4:27 pm,
American Airlines,2023-12-10,5h 27m,1 stop,7:00 am – 11:27 am,Basic Economy,$114,BOS,ORD,7:00 am,11:27 am,
Delta,2023-12-10,3h 05m,nonstop,8:25 pm – 10:30 pm,Basic Economy,$179,BOS,ORD,8:25 pm,10:30 pm,
United Airlines,2023-12-11,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$89,BOS,ORD,6:28 pm,8:25 pm,
Frontier,2023-12-11,10h 08m,1 stop,8:33 am – 5:41 pm,Economy,$55,BOS,MDW,8:33 am,5:41 pm,
American Airlines,2023-12-11,3h 04m,nonstop,6:50 am – 8:54 am,Basic Economy,$84,BOS,ORD,6:50 am,8:54 am,
American Airlines,2023-12-11,3h 07m,nonstop,7:50 am – 9:57 am,Basic Economy,$84,BOS,ORD,7:50 am,9:57 am,
United Airlines,2023-12-11,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$89,BOS,ORD,6:00 am,7:57 am,
United Airlines,2023-12-11,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$107,BOS,ORD,4:16 pm,6:13 pm,
JetBlue,2023-12-11,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$84,BOS,ORD,4:54 pm,6:55 pm,
JetBlue,2023-12-11,2h 59m,nonstop,7:00 am – 8:59 am,Blue Basic,$84,BOS,ORD,7:00 am,8:59 am,
United Airlines,2023-12-11,2h 57m,nonstop,11:35 am – 1:32 pm,Basic Economy,$119,BOS,ORD,11:35 am,1:32 pm,
United Airlines,2023-12-11,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$119,BOS,ORD,9:46 am,11:43 am,
American Airlines,2023-12-11,3h 07m,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119,BOS,ORD,12:22 pm,2:29 pm,
American Airlines,2023-12-11,4h 36m,1 stop,7:43 am – 11:19 am,Basic Economy,$104,BOS,ORD,7:43 am,11:19 am,
Delta,2023-12-11,2h 57m,nonstop,2:30 pm – 4:27 pm,Basic Economy,$119,BOS,ORD,2:30 pm,4:27 pm,
Delta,2023-12-11,3h 02m,nonstop,8:20 pm – 10:22 pm,Basic Economy,$119,BOS,ORD,8:20 pm,10:22 pm,
Delta,2023-12-11,3h 06m,nonstop,5:25 pm – 7:31 pm,Basic Economy,$119,BOS,ORD,5:25 pm,7:31 pm,
Delta,2023-12-11,2h 59m,nonstop,6:05 am – 8:04 am,Basic Economy,$119,BOS,ORD,6:05 am,8:04 am,
United Airlines,2023-12-12,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$79,BOS,ORD,6:28 pm,8:25 pm,
Spirit Airlines,2023-12-12,14h 13m,1 stop,9:37 pm – 10:50 am+1,Economy,$60,BOS,ORD,9:37 pm,10:50 am,+1
United Airlines,2023-12-12,2h 57m,nonstop,4:16 pm – 6:13 pm,Basic Economy,$79,BOS,ORD,4:16 pm,6:13 pm,
JetBlue,2023-12-12,3h 01m,nonstop,4:54 pm – 6:55 pm,Blue Basic,$79,BOS,ORD,4:54 pm,6:55 pm,
United Airlines,2023-12-12,2h 57m,nonstop,11:35 am – 1:32 pm,Basic Economy,$79,BOS,ORD,11:35 am,1:32 pm,
United Airlines,2023-12-12,2h 57m,nonstop,9:46 am – 11:43 am,Basic Economy,$79,BOS,ORD,9:46 am,11:43 am,
United Airlines,2023-12-12,2h 57m,nonstop,6:00 am – 7:57 am,Basic Economy,$79,BOS,ORD,6:00 am,7:57 am,
JetBlue,2023-12-12,2h 59m,nonstop,7:00 am – 8:59 am,Blue Basic,$79,BOS,ORD,7:00 am,8:59 am,
American Airlines,2023-12-12,3h 07m,nonstop,3:30 pm – 5:37 pm,Basic Economy,$79,BOS,ORD,3:30 pm,5:37 pm,
American Airlines,2023-12-12,3h 04m,nonstop,6:50 am – 8:54 am,Basic Economy,$79,BOS,ORD,6:50 am,8:54 am,
American Airlines,2023-12-12,3h 07m,nonstop,7:50 am – 9:57 am,Basic Economy,$79,BOS,ORD,7:50 am,9:57 am,
American Airlines,2023-12-12,3h 07m,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119,BOS,ORD,12:22 pm,2:29 pm,
Delta,2023-12-12,2h 57m,nonstop,2:30 pm – 4:27 pm,Basic Economy,$104,BOS,ORD,2:30 pm,4:27 pm,
Delta,2023-12-12,2h 58m,nonstop,10:05 am – 12:03 pm,Basic Economy,$104,BOS,ORD,10:05 am,12:03 pm,
Delta,2023-12-12,3h 05m,nonstop,8:25 pm – 10:30 pm,Basic Economy,$104,BOS,ORD,8:25 pm,10:30 pm,
Delta,2023-12-12,2h 59m,nonstop,6:05 am – 8:04 am,Basic Economy,$104,BOS,ORD,6:05 am,8:04 am,
United Airlines,2023-12-13,2h 57m,nonstop,6:28 pm – 8:25 pm,Basic Economy,$79,BOS,ORD,6:28 pm,8:25 pm,
